place,location,description
Sri Ramalingeswara Swami vari Devasthanam,vijayawada," Resting atop a small hillock in the southeast corner of Vijayawada is the Sri Ramalingeswara Swami vari Devasthanam. Decked in a canopy of tall dense trees, this holy temple is dedicated to Lord Shiva and is decorated like a bride, come Mahashivratri. You will also be treated to a breathtaking view of the colourful city and the River Krishna from here. "
Lenin Statue,vijayawada," An enormous statue of Vladimir Ilyich Ulyanov, better known as Lenin, towers in the middle of Vijayawada city as an instance of communism and its ideologies. Built in the 1980s when the town was under communist rule, this statue holds tremendous historical significance. You can find many stray book sellers here selling popular and interesting books at a third of the cost. "
Hazrat Bal Mosque,vijayawada," The dazzlingly white Hazratbal Mosque in Vijayawada city is a sight for sore eyes. This mosque experiences a footfall of thousands of people, irrespective of caste and creed, to take one glance at Prophet Mohammad's relic that is put up on display once a year. They say having seen this relic will rid you of all the stubborn problems of life. "
Akkanna Madanna Caves,vijayawada," These ancient rock-cut caves of Akkanna Madanna can be traced back to the 7th Century. Located in the Krishna and Guntur regions of Andhra Pradesh, these caves are the treasured possessions of the Vijayawada kingdom. These caves are dedicated to the Hindu trinity of Brahma, Vishnu and Maheshwara and contain significant inscriptions from the past.
 "
VMC Disney Land,vijayawada," Situated in Ajit Singh Nagar in Vijayawada, VMC Disney Land is one of the most popular and largest water parks in the city. With separate swimming pools for adults and kids, professionals and beginners and a variety of water activities and fun games, thrilling rides, aqua dancing and wave pools etc., the water park is the favourite hangout place for the city dwellers. "
Gunadala Matha Shrine,vijayawada," Tucked into the hills of the Krishna District, the Gundala Matha Shrine, or the St Mary's Church, provides hope and solace to many. You will find an iron cross erected here along with Mother Mary's idol and a museum that houses many holy relics. A huge crowd of devotees and tourists are gathered here during the festive celebration of Our Lady of the Lourdes. "
Haailand,vijayawada, Haailand is situated around 19 kms from Vijayawada on the outskirts of the city. It is considered to be the most deliciously designed and themed water cum amusement parks in the region. It offers a plethora of fun games and activities. You can either choose for a water park package or and amusement park package or both.  
ISKCON Vijayawada,vijayawada," Settled by the banks of River Krishna, the striking three-storeyed building of ISKCON in Vijayawada houses two mesmerizingly stunning marble idols of Lord Krishna and Radha standing side by side. The faint vibrations of ¥om' playing in the background will relax your nerves as soon as you enter the temple. Mahaprasad facility is also available here. "
Rajiv Gandhi Park,vijayawada," Set on the banks of River Krishna, the Rajiv Gandhi Park has it all- a small enclosure with exotic animals, a dinosaur park with life size replicas of ancient creatures and a mesmerising musical fountain. Relaxing amidst the dense verdure of this park and listening to the melodious chirping of the birds will instantly refresh you after a long monotonous week. "
Mehrangarh Fort,jodhpur,  Mehrangarh Fort is one of the largest forts in the country. It is located at the top of a  410 feet elevated hill and guarded by huge walls. The fort encloses a museum now which exhibits various belongings of the royals.  The palace was built by Rao Jodha in 1459.  
Umaid Bhawan Palace,jodhpur," Voted as the Best Hotel in the world, Umaid Bhawan Palace is also a major tourist attraction in Jodhpur. Apart from being a heritage hotel, it is a museum and the residence of the Royal Family of the present owner, Raja Gaj Singh.  Because of its location on the highest point in Jodhpur, the Chittar Hill, it is also referred to as the Chittar Palace. 
 "
Camel Safari,jodhpur," With Rajasthan being the desert state of India, camel safaris across the Thar desert are ever present through the region. The city of Jodhpur offers multiple packages of varying durations for its visitors. "
Toorji Ka Jhalra,jodhpur," Toorji Ka Jhalra, commonly called the stepwell of Jodhpur, is an intricate design of stepwell, one of the few remaining structures depicting the traditional water management systems of Jodhpur. This 18th-century stepwell with intricate carvings is a popular spot for photos. "
Jaswant Thada,jodhpur," Jaswant Tada is a royal cenotaph built in white marble. It has a small pond and a pretty garden next to it. This structure is just a few minutes downhill walk from the main fort, so there is no need to take a ride. Also called ""Taj Mahal of Marwar"", it was built in the honour and memory of Maharaja Jaswant Singh II and is still used by the Marwar Royal Family as cremation grounds. "
Mandore Garden,jodhpur," Famous royal cenotaphs, Mandore Garden is located just 9 kilometres away from Jodhpur in Mandore which was once the ruling seat of the Pratihara dynasty. The garden is a part of the more massive Mehrangarh Fort, and also houses the famous Hall of Heroes and the temple of Three Hundred Million Gods. The garden also has a Government Museum, which is full of artefacts and old relics.  "
Rao Jodha Desert Rock Park,jodhpur," The Rao Jodha Desert Rock Park was created out of a large, rocky wasteland by the side of the famous Mehrangarh Fort to restore and reflect the natural ecology of the region. It is home to over 200 species of rocky and arid plants. "
Flying Fox Jodhpur,jodhpur," Flying Fox is India's premier ziplining agency. The Flying Fox Zipline Tour Jodhpur, spread across ziplines around the Mehrangarh Fort, couples surreal views of the walls, the bastions and the lakes of the fort and the blue city with an adrenaline rush like never before. "
Khejarla Fort,jodhpur," Khejarla Fort in Jodhpur is an ancient monument that has since been converted into a heritage hotel.  It is built atop granite boulders and made of red sandstone, a signature element of Rajput architecture. The hotel also offers a guided tour of the village. "
Balsamand Lake,jodhpur," Balsamand Lake is famous for being the site of the Bal Samand Lake Palace, a heritage hotel. Surrounded by lush gardens, it contains a large variety of trees like mango, papaya, pomegranate, etc. It is a popular spot for a sunset view and a lakeside picnic. "
Om Banna Temple,jodhpur," Bullet Baba Temple is dedicated to Om Banna, a traveller who passed away at his site, and his mysterious bike, a 350cc Royal Enfield Bullet. It is located 53 km from Jodhpur, on the Jodhpur Pali highway. Nearby villagers and devotees come to pray for a safe journey while travelling. This temple is especially popular among Royal Enfield enthusiasts. "
Sardar Market,jodhpur," This is the most famous shopping zone of Jodhpur and attracts customers from all parts of the world. The marketplace is abundant with all sorts of products such as local fabric, clay figurines, silver jewellery, grains, spices, marble, pottery, vegetables, and many more products.  "
"Sheesh Mahal, Jodhpur",jodhpur," The Sheesh Mahal in the Mehrangarh Fort of Jodhpur, known as the Glass Palace of Jodhpur, is a marvellous piece of historic architecture is decked from ceiling to floor with fanciful mirror work. It is said to be the bedchamber of Maharaja Ajit Singh between the 17th and 18th centuries. "
Bishnoi Village Tour,jodhpur," The Bishnoi Village tour comprises four villages where one can absorb and witness the authentic traditions and lifestyles of rural Rajasthan, a continuing tribute to the original way of life present in Marwar. As Bishnois are staunch protectors of the environment, many animals and birds are seen naturally coexisting in and around the areas of the villages. "
Mahamandir Temple,jodhpur," Located two kilometres away from Jodhpur on the road towards Mandore, Mahamandir is a very big temple with the fantastically carved 84 pillars which are a sight to behold. "
Sardar Samand Lake Palace,jodhpur," The man-made Sardar Samand Lake is a favourite among those looking for a weekend getaway from the city. Countless migratory birds approach its banks to enjoy this serene location. Atop the hill overlooking the lake is the Sardar Samand Lake Palace, the former summer palace of the royal family now converted into a heritage hotel.  "
Sardar Government Museum,jodhpur," The Jodhpur Government Museum lies in the centre of Umaid Bagh. One can find a variety of weapons, textiles, miniature paintings, inscriptions, sculptures, metallic objects, arts and crafts at the government museum that help understand the life led by the past generations of Jodhpur. "
Ranisar Padamsar,jodhpur, The Ranisar and Padamsar lakes are two artificial lakes situated at the rear of the Mehrangarh Fort in Jodhpur. They were constructed on the orders of two different queens of Jodhpur as a consistent water source for the residents of the city. 
Rai ka Baag Palace,jodhpur," Constructed in 1663 by the queen of Maharaja Jaswant Singh- I, Hadiji, Rai ka Baag Palace is one of the popular tourist attractions of Jodhpur. The palace is octagonal in shape and currently it houses the income tax office of Jodhpur "
Moti Mahal Jodhpur,jodhpur," Moti Mahal is the largest and brightest room of the five historic rooms present in the Mehrangarh Fort. The materials used for the surface of the hall give it a pearly look, hence the name palace of pearls. The Maharaja would hold private audience with his subjects in this room. "
Fort Chanwa,jodhpur," Fort Chanwa is one of the best heritage hotels of Jodhpur. The former palace has been now restored by the owners Maharaja Dalip Singh and his wife Rani Madhu into an elegant luxury home. Carved in red sandstone, the highlight of the palace are the elaborate ""jharokas"" and the striking architecture. "
Machia Biological Park,jodhpur," Machia Biological Park is located about 8.5 km from Jodhpur, close to the Kaylana Lake. It is a host to varied species of flora and fauna as well as a nature interpretation centre and the Machia Fort. Along with the enclosures for the animals, one can also find a birdwatching point, proof of the site’s fantastic biodiversity. "
Ghanta Ghar,jodhpur," The Ghanta Ghar in Jodhpur is a magnificent clock tower in the centre of the city which offers a brilliant panoramic view of the city from the top, surrounded by the busiest and largest marketplace of Jodhpur. At night, the tower comes to life when it is all lit up. "
Jodhpur Flamenco And Gypsy Festival,jodhpur, Jodhpur Flamenco and Gypsy Festival (JFG) is a cultural festival that merges the west and east folk and cultures of India and Spain. The majestic Mehrangarh Fort plays host to this festival each year. 
Splash - The Fun World,jodhpur," Splash - The Fun World is situated on the Sarkhej Sanand Road near Jodhpur. Spread over an area of 12 acres, the park offers the peaceful environment much needed in the hustle of the busy city. It receives a large influx of localites and holiday-goers alike. "
Phalodi Jodhpur,jodhpur," Phalodi is a delightful little town  located between Jodhpur and Jaisalmer. It is known as the salt city as it is densely populated by salt industries, and is home to some notable historic structures such as the Lal Niwas and the Phalodi fort.  "
Pali,jodhpur," Pali is a city of great beauty and historical significance 70 km south of Jodhpur. One can find many temples, industries and scenic sights here. The infamous Om Banna temple is close to this city. "
Nagaur Fair,jodhpur," Nagaur Fair is conducted in the town named 'Nagaur' and is primarily known as a Cattle Fair. This fair is all about the trading of animals, wherein the animals are presented with colorful accessories upon them. The Nagaur Fair is an eight-day affair, which takes place between the months of January and February. "
Kaylana Lake,jodhpur, Kaylana Lake is a massive manmade lake on the outskirts of Jodhpur city. It serves as the primary resource for drinking water for the citizens of Jodhpur and other neighbouring settlements. It also serves as an excellent viewpoint for sunsets. The Siberian Crane can also be spotted here during winter.  
Umaid Heritage Art School,jodhpur," The Umaid Heritage Art School is an art gallery as well as an art school located in the centre of Jodhpur. It is the ideal place to view and learn the world famous Rajasthani miniature painting style, along with other fascinating art and painting styles. "
"Phool Mahal, Jodhpur",jodhpur," The Phool Mahal is the most lavish hall present in the Mehrangarh Fort. It served as a pleasure dome for male members of the royal family. The idea of the design was to make it look like a beautiful flower, thus the name 'Phool Mahal'. The hall is decked with gold, with the ceiling being inlaid with gold filigree.  "
Masuriya Hill Garden,jodhpur," The Masuriya Hill Garden lies on top of the Masuriya Hill, offering a 360-degree panoramic view of the city of Jodhpur. Inside, one can find a statue of Veer Durgadas Rathore, a temple of Baba Ramdev, and one of the largest TV towers in India. "
Hanwant Mahal,jodhpur," Situated in close vicinity to Umaid Bhawan Palace in Jodhpur, Hanwant Palace is a five-star luxury hotel that provides a royal dining experience. Spread over three storeys, the Mahal also conducts dinners in the beautiful garden on the other side of the hotel adorned with flower beds and fountains. "
Marwar Festival,jodhpur," The Marwar Festival is a music and dance festival centred around the Marwar region. It is held at Mehrangarh Fort and Umaid Bhawan Palace. The festival also has other events like - Puppet shows, Horse Polo, Camel Tattoo show and much more! This festival takes place over the course of two days between September and October. "
Jodhpur International Desert Kite Festival,jodhpur," This festival is a major celebration for all of the kite-flying enthusiasts. In its inaugural ceremony, at the Polo Ground, a number of helicopters release a number of kites, along with children releasing a number of balloons. There are two major competitions held during this festival: the Fighter Kite Competition and the Display Kite Competition. The final round of the competition is held in the Umaid Bhawan Palace.
 "
Rajasthan International Folk Festival,jodhpur, Jodhpur RIFF - (Rajasthan International Folk Festival) is an annual festival which is held in October (Sharad Purnima). 
Shastri Circle,jodhpur," A lively and vibrant part of the city, it is considered a relaxing hangout spot by the locals. The evenings see a musical fountain show with lights to jazz it up. "
Guda Bishnoi Village,jodhpur," Approximately 22 km from the city of Jodhpur, the Guda Bishnoi Village is a hotbed for scenic beauty and exotic wildlife. The Guda Bishnoi Lake, an artificial lake by the village serves as a watering hole for a large number of birds and animals. "
Chamunda Mata Temple,jodhpur," Located at the end of Mehrangarh Fort, the Chamunda Mata Temple is a great place to get a panoramic view the sunset over the blue city. It was built along with the Mehrangarh fort when Jodhpur was founded.The Goddess is considered the main deity of the inhabitants of Jodhpur. "
Mahamandaleshwar Mahadev,jodhpur," Considered the oldest temple of Jodhpur, the Mandaleshwar Mahadev Mandir was built in 923 AD by Mandal Nath. This ancient temple is dedicated to Lord Shiva, and has been beautifully decorated with various exquisite paintings of Lord Shiva and Goddess Parvati. "
Fun World Jodhpur,jodhpur," Situated on the Chopasni Road in Jodhpur, Fun World Resorts is one of the most loved and visited water parks cum resort in the city. The park boasts of a separate pool section for kids. Besides, the canteen serves amazing mouth-watering food dishes to tend to your hunger pangs. "
Rajasthan International Folk Festival (Jodhpur RIFF),jodhpur, Jodhpur RIFF is a 5-Day-Long celebration of Rajasthani art and culture right at the foot of the Mehrangarh Fort. The artists come from Rajasthan and also from all over the globe to be a part of this celebration. 
Dhawa Doli Wildlife Sanctuary,jodhpur," Situated around 45 km southwest of Jodhpur city near Barmer in Rajasthan, Dhawa Doli Wildlife Sanctuary boasts of rich wildlife mainly comprising of wild animals that include blackbucks, cheetal, sambhar, Desert Rats and Antelopes, desert foxes and nilgai etc.  "
World Sacred Spirit Festival,jodhpur," While this is a world festival, the World Sacred Spirit Festival is going to be held in Jodhpur in 2018. This festival has a number of Sufi performances and is a major crowd puller. What could be better than witnessing a divine performance with the Mehrangarh Fort in the backdrop? This is one event which no music lover can miss out on. It will be conducted in the Nagaur Fort (12th, 13th, and 14th February), and the Mehrangarh Fort (16th and 17th February). "
Madurai Meenakshi Amman Temple,madurai," The Historic Madurai Meenakshi Amman Temple is located on the southern bank of the Vaigai River, Madurai, Tamil Nadu. It is primarily dedicated to Parvati, known as Meenakshi, and her spouse, Shiva. That makes this temple different than the others is the fact that both God and Goddess are worshipped together.  "
Thirumalai Nayakar Mahal,madurai, Thirumalai Nayak Mahal was constructed way back in the 17th century. Several buildings and temples had been constructed by him in the region and they have all been splendid both in terms of construction location and spirituality. 
Vaigai Dam,madurai," Vaigai Dam, a magnificent human-made structure, is constructed over River Vaigai near Andipatti, Theni District in the South Indian State of Tamil Nadu. Andipatti lies about 70 kilometres from Madurai and travellers on their way to Periyar Wildlife Sanctuary often visit this massive and wondrous dam. "
Alagar Koil,madurai, Alagar Koil is an exquisite temple situated in the north east of Madurai. The temple is the rest place of Lord Vishnu and is the sacred place for several followers of Lord Vishnu in the region. 
Meghamalai,madurai," Often known as the “High Wavy Mountains”, Meghamalai is a petit yet beautiful place located in the Western Ghats in the state of Tamil Nadu. At an elevation of 1500 meters, this place is a perfect getaway to beat the heat and enjoy some peaceful time relaxing amidst nature.  "
Samanar Hills,madurai," Located in Keelakuyilkudi village near Madurai, Samanar Hills or Samanar Malai is a beautiful hill rock complex which was originally home to Tamil Jain monks. The hill caves are a popular place of tourism and have elaborate carvings and drawings of the monks, on the interior walls. The spot also has a beautiful lotus temple located in the premises. "
Gandhi Museum,madurai," The Gandhi Memorial Museum serves as a remembrance and tribute to the efforts of our very own father of the nation, Mahatma Gandhi. Established in 1959 in his cherished memory, eleven years after his demise, it is one of the few Gandhi Museums in the country. "
Koodal Azhagar Temple,madurai," The Koodal Azhagar Temple is situated in the city of Azhaghar, the dazzling city of southern India. It is the temple of lord Vishnu with a magnanimous monument of lord Vishnu embossed in front of the temple. "
Athisayam,madurai," Located on the Madurai - Dindigul National Highway near Madurai, Athisayam is a massive water cum amusement park. Sprawling over a vast 70 acres of land, the park boasts of a total of 40 games and 20 water rides. The park also has a 7D theatre, an eatery and a recreation garden for kids. "
Mariamman Teppakulam,madurai," Constructed in the honor of Lord Vigneshwara, this divine temple is situated about 5 km from the meenakshi temple. It has a huge tank in the compound of the temple and holds the record of being the biggest tank in the region of Tamil Nadu. "
Pazhamudhir Solai,madurai, Pazhamudhir Solai is a beautiful temple created in the memory of Lord Subramaniya who is worshipped by several people in southern India. It has great sculptures of Lord Subramaniya carved in wood and marble and is a wonderful temple with giant steps in the front of it. 
Tirupparankundram Murugan temple,madurai, Tirupparankundram Murugan temple is one of the pilgrimage places in the southern India. The temple is an excellent master piece of art and is devoted to mother earth for the benedicts it has bequeathed on the holy earth. 
Chithirai Festival,madurai, The Chithirai festival of Tamil Nadu happens to be one of the longest stretched festivals to be celebrated anywhere in the world. The festival is celebrated in the city of Madurai of the Indian state of Tamil Nadu and is celebrated for over two weeks. An estimated number of a million people gather for the celebrations from all over India and abroad.  
St Maryês Cathedral,madurai," St Maryês Cathedral is a gothic style catholic church situated in East Veli Street in Madurai. The striking architecture is a mix of European, Continental and Roman designs. The statue of virgin Mary installed inside is dressed in a saree. The church receives a regular influx of visitors all year long. "
Vandiyur Mariamman Teppakulam,madurai, Vandiyur Maiamman Teppakulam is a tiny pond located near the premises of Vandiyur Maiamman Temple in mandir. •Teppakulamê literally meaning temple pond is connected to the river Vaigai through underground tunnels and its water is used for temple rituals. The pond also has a Mandapam in the centre with a Ganesha Temple and a tiny garden. 
ISKCON Madurai,madurai," Situated in the Mani Nagaram Main Road in Madurai, ISKCON Madurai is a revered Hindu temple dedicated to Lord Krishna and his consort Goddess Radha. The temple reverberates with mantras and songs at all times and devotees are fed with prasad. The premises also has a pure veg tiny eatery for the devotees and other visitors. "
Banana Market,madurai, Banana Market in Madurai is a wholesale market for bananas situated in Rukmanipalayam. The place sells as many as 16 varieties of the fruit and is a hot trading place in the city. The bananas are brought early in the morning from the factory outlets and are unbranched from the branches to sell them to the local vendors. 
Kazimar Big Mosque,madurai," Kazimar Big Mosque or Kazimar Periya Pallivasal is the oldest mosque in Madurai located near the Periyar bus stand. The mosque also holds significant religious importance and is visited by pilgrims from far and wide. With a space to accommodate close to 1500 people, the mosque also has an enchanting architecture with a magnificent maqbara. "
Goripalayam Dargah,madurai," Goripalayam Dargah is also known as Hajha Syed Sultan Alaoudeen Syed Sultan Samsudeen Aouliya Dargah and is situated in Madurai. Done in green and white paint, the mosque has towering minars and a magnificent dome; and it houses the shrine of Hazrat Sulthan Alauddin Badusha and Hazrat Sulthan Shamsuddin Badusha. "
Kutladampatti Falls,madurai," Cascading from a height of 27 m, the Kutladampatti waterfalls are nestled in Cholavantha village, 30 kms from Madurai. This artificial waterfall is extremely popular for its scenic beauty and makes for the perfect weekend getaway. The freshwater streams descending down the huge rocks, the cool breeze and the lovely ambience of the area make it a local favourite.
 "
Ghatarani Waterfalls,raipur," Located 85 km from the city of Raipur is Ghatarani Waterfalls, the largest in the state of Chattisgarh. Surrounded by lush greenery, this breathtaking sight is a popular picnic spot. A small trek through a forest would lead you to this beautiful natural beauty. At the bottom of the waterfall lies a naturally formed pool. Enjoy a swim, play with your fam, or unwind in the pool. Although the waterfall's beauty enriches in the rainy season – when the water is in full flow – it is best to avoid going during this time because of slippery terrains and mudslides. "
Nandan Van Zoo & Safari,raipur," Nandan Van Zoo, located at Naya Raipur, is one of the famous places of visit in the city. With its primary objective to protect and conserve animals, the zoo has many species of fauna. There are jungle safari and boating rides and is a perfect spot to spend the day with kids. It is fascinating to watch the animals wander around the jungle, and it also gives an exposure to many species which are not very popular and on the verge of extinction. Also, the facilities provided by the zoo are comfortable and affordable.  "
Purkhauti Muktangan,raipur," Keep your gadgets away and spend a day at Purkhauti Muktangan, a delightful garden reflecting the rich culture of Chhattisgarh. The Hon’ble A.P.J Abdul Kalam inaugurated the place in November 2006. Since then, this garden is a place that attracts tourists and locals alike. Folk art, life-like tribal figures, vibrant sceneries add on to the beautiful experience. Not only is the garden eye-catching to visitors, but it also spreads cultural awareness about preserving our bio-cultural diversity.  "
Swami Vivekanand Sarovar,raipur," Swami Vivekanand Sarovar is also called Burha Thalab which means old lake. Fenced by a number of trees, especially palm trees, it is a tranquil place to visit. There are several food stalls just outside the park that provide cheap and good quality street food. Apart from that, the lake is a popular picnic spot and a joggers paradise. The best time to visit the lake is in the evening, just before sunset.  "
Gandhi Udyan Park,raipur," Gandhi Udyan Park is located in the heart of the Raipur city which extends till the famous Bhagat Singh Chowk. With a lot of natural vegetation spread over the park, the walking area is neatly tiled. There is also a playground where yoga classes are held early in the morning. With a walking area of about 400 meters, it is an excellent place for a morning or evening walk.  "
MM Fun City,raipur," MM Fun City is a one-stop destination for everyone who is looking to soak themselves in unlimited fun and entertainment. Located in the outskirts of the capital city, it is Chhattisgarh’s largest water amusement park. The park has been set up in a tranquil and serene environment, away from the city’s busy life. It is a hit among its visitors, providing them with fun water slides, family pool, wave pool, rain dance, a restaurant and even an exclusive kids zone. It is famous for its exciting rides, modern features and excellent service. "
Mahant Ghasi Memorial Museum,raipur," Located near the Kutchery Chowk intersection, Mahant Ghasi Memorial Museum is small but packed with rich history of Raipur city. This well- maintained museum boasts an impressive collection of tribal artefacts, inscriptions, coins, carvings, models, and other things related to anthropology and natural history. There are five galleries spread on two floors and a vast library that you won't be able to miss. Head over to an open-air restaurant located at the ground floor of the museum to experiment with cheap but good tribal food. You get to learn a lot about Raipur's past, its culture and how it went on to become the big city it is in the present times. Entry fee to the museum is INR 5. "
Banjari Mata Mandir,raipur," The shrines of Banjara Mata Temple are, without a doubt, its speciality. Devoted to Goddess Banjari Mata, this sacred place is famous for hosting events during the Dussehra and Navratri festivals. Many devotees from neighbouring states and across the country flock to breathe in the pleasant and sacred aura. One can feel the calmness lingering in the air. The temple is open all days of the week and can be visited between 6:00 AM to 7:30 PM. The temple's exquisiteness and authenticity is the reason why thousands visit the place to seek blessings.  "
Champaran,raipur," Champaran was previously known as Champajhar. This village is of religious as well as historical significance as it is regarded to be the birthplace of the Sant Mahaprabhu Vallabhacharya, the founder, pioneer and reformer of the Vallabh Sect. It is thus, a popular Vaishnava Peeth. Champaran is home to two temples that are dedicated to Shri Mahaprabhuji - the Prakatya Baithakji Mandir and Mool Prakatya (more commonly known as Chatti Baithak) and also holds an annual festival. "
Jatmai Temple,raipur," Located in Gariaband, about 85 km from the city of Raipur, Jatmai temple is situated amidst lush greenery. The temple, devoted to Mata Jatmai is constructed with granite and has beautiful murals at its entrance. The holy place is lit up and decorated with great enthusiasm during the festivals of Navratri. It is a place which has such peaceful vibes and positivity. "
City Center Mall,raipur," The City Center Mall in Raipur combines entertainment and business. You can find brands like Woodland, Adidas, Lee Cooper, Wrangler, and more to shop from. After going on a shopping spree, head over to the large food court area to grab a quick bite or a multi-course meal. What next? The mall also has a multiplex with five screens where you can enjoy the latest films with your friends and family. "
Shahid Veer Narayan Singh International Cricket Stadium,raipur," Shahid Veer Narayan Singh International Cricket Stadium, located in Raipur, at a distance of 21 kilometres from the heart of the city, is the fourth-largest cricket stadium in the world. The stadium, known for hosting IPL (Indian Premier League) matches and Ranji Trophy matches, acts as a platform of international importance, with a capacity of accommodating approximately 65000 excited fans. "
Kevalya Dham Jain Temple,raipur," Spread over a large area in the outskirts of the city, Kevalya Dham has several temples within the premise dedicated to Jainism. The structure is made up entirely of marbles and is an architectural beauty. Away from the hustle bustle of city life, the temple brings peace and joy to mind the moment you step inside the place. With large open spaces and serene gardens, the temples are equally liked by kids who want to frolic around. "
Rajiv Lochan Mandir,raipur," Popular for its magnificent architecture and rich heritage, Rajiv Lochan Mandir is a temple dedicated to Lord Vishnu. Located in Rajim – 1-hour car ride away from Raipur – the temple's edifice rests on 12 columns with aesthetic stone carvings around them. The best time to visit this holy sight is from 16th February to 1st March, when the sacred Rajim Lochan Mahotsav is hosted.  "
ISKCON Raipur - Sri Radha Rasbihari Temple,raipur," ISKCON (International Society for Krishna Consciousness) has famous temples all over the country, and the one in Raipur city is a recent addition, with ongoing construction. Temporarily, the idols have been shifted to another temple while the main building is still being made. Nonetheless, the elegance of the temple can still be witnessed. The white marble reflects pureness and looks even better with decorative lights at the night time.  "
Shadani Darbar,raipur," Located on Dhantari road, 9 kms from Raipur, Shadani Darbar is a massive pilgrimage space spread over 12 acres. Named after Sri Shadaramji Saheb, the place has a massive hall with Dhuni Saheb's idol, and many other gods and goddesses are engraved all over the place. The devotees perform Dukh Bhanjan Dhuni every day. Besides, there are beautiful musical fountains and statues. Other attractions include musical fountains with religious idols and statues. "
Solar Energy Park,raipur, Energy Park is also called as Urja Park is an energy education park whose primary objective is to create awareness and perpetuate the habit of energy saving. It is fun-based theme park where the kids can learn while they play. The park has a garden of trees giving exposure to many kinds of fauna all of which are maintained neatly.  
Town Hall,raipur," Chowk in Raipur is the Town Hall which is a government office as well as a tourist site. The place brims with rich history. It houses information about all kinds of dynasties and kings that once ruled the city of Raipur. Tourists visit here majorly due to the rich and well-known history of the building. Constructed in the year 1889 and inaugurated in 1890, the town hall also witnessed and survived the struggle of independence. It has been renovated once. Earlier known as the Victoria Jubilee Hall, the Town Hall was constructed from stones transported from Raipur Fort in 1887. The place was renovated lately by the Nagar-Nigam and has regained its old splendour. It is also one of the historical pride of Raipur and serves as a well-visited tourist destination. "
Mahamaya Temple,raipur," In addition to devotees, the 900-year-old Mahamaya Temple also attracts historians and archaeologists due to its rich history and architecture. With home to several gods and goddesses including Mahakali, Bhadrakali, Lord Shiva, Lord Hanuman, Lord Bhairav, and more, this holy sight is undoubtedly one of the most celebrated in the state of Chattisgarh. 18 inch thick walls surround the temple, and 16 thick stone columns support the temple's structure. It indeed showcases mastery in architecture. According to historians, the temple was built by King Ratnadev in the 11th century.  "
Kankali Talab,raipur," Legendary sages, including the Goswami Naga sages belonging to the Dashnami Sanyasi sect, are believed to spend time near the Kankali pond. They meditated and prayed to the divine deity. Hence, they also decided to build a small temple dedicated to Lord Shiva in the middle of the pond. There are stones arranged on the sides of the pond which enhances the temple's antiquity. Even in the present times, sages can be seen meditating peacefully near the pond.  "
Seven Wonders Park,kota," A newly opened park and now a premier attraction of Kota, this park has replicas of the Seven Wonders of The World including Taj Mahal, Pyramids of Egypt, Eiffel Tower, Brazil's Christ the Redeemer, Statue of Liberty and Rome's Colosseum. "
Kishore Sagar and Jagmandir Palace,kota, Kishore Sagar is an artificial picturesque lake dating back to 1346 constructed by the Bundi Prince Dehra Deh. It located by the side of attractive Brij Vilas palace museum. 
Garadia Mahadev,kota," Situated in Daulatganj near Kota, Garadiya Mahadev Temple is not just a revered Hindu temple but also a popular tourist spot because of its location at the scenic Chambal gorge. Perched at a height of 500 feet from the mean sea level on a picturesque cliff, the temple is enshrined by Hindu God Shiva. Boasting of immense scenic beauty, views of the virgin green plains sprawling all over and flanked by river Chambal on the side, the place is one of the most ideal picnic spots in the region. The presence of several peacocks and other avian species attract a lot of birdwatchers and photography buffs. Considered to be the best place to relax and unwind, the vantage point is surely a must- visit.  "
Kota Barrage,kota," One of the most popular place among the locals, Kota Barrage is frequented for its peaceful evenings along the riverside. Kota Barrage is a dam built on Chambal River and is located quite close to the main city. "
Chambal Gardens,kota," Chambal Garden, a beautiful garden in the backdrop of Chambal river, is a much sought picnic spot in Kota. The garden located at Amar Niwas on the landscape of Chambal river encloses a well maintained pond, a habitat for crocodiles. "
Khade Ganesh Ji Temple,kota," Believed to be more than 600 years old idol, Khade Ganesh is one of the most important religious place in Kota. "
"City Palace, Kota",kota," A confabulation of Mughal and Rajasthani architecture and art, the City Palace is a monument of the glorious royal past of the Kota city. City palace is a fantastic landmark in Kota attracting thousands of tourists every year. "
Chambal River Safari,kota," The Chambal River Safari, organised across the Chambal River near Kota, Rajasthan, includes exploring the river on a boat while being surrounded by greenery, sandbanks and ravines. The one hour river safari lets you experience close to 300 migratory and resident birds along with Ghariyals, crocodiles and more. "
Kaithoon,kota, Kaithoon is renowned for the specialized designer hand woven saris named as Kota Doria saris. These saris are hand woven with real gold threads. The textile weaving rules this place. 
Godavari Dham Temple,kota," Located in Dadabari in Kota, Godavari Dham Temple is dedicated to Lord Hanuman and is based on the banks of river Chambal. The temple hosts a special morning and midnight aarti on Tuesdays and Saturdays which is attended by hundreds of pilgrims. Besides, the temple also houses idols of several other gods and goddesses including Lord Shiva, Bhairav, Ganpati etc. "
Gaipernath Waterfall,kota," Gaipernath Waterfall is situated near Kota city centre in Kota. It is a picturesque tourist spot popular for picnics, small treks, nature photography and the like. The ideal time to visit the waterfall is during monsoons when the rains refurbish the water reserves and you can experience the cascading falls in all its glory. You can also take a dip in the freshwater at the base. "
